sample_index,true_class,pred_class,pred_confidence,true_confidence
7983,wait,tree,8.153296,2.7105868
125,face,for,8.151342,4.229013
1454,awake,wake,8.146415,5.553927
1635,stay,that,8.14459,4.815354
252,nap,sleep,8.142652,3.361686
8654,not,beside,8.142354,2.032948
441,face,look,8.140133,5.680777
7281,can,carrot,8.130641,3.1546278
316,awake,bye,8.128146,2.2871718
5085,can,shoe,8.123385,2.420214
4140,on,night,8.111063,2.531332
2731,have,bath,8.107302,6.5129476
4887,have,animal,8.101301,6.092344
5306,dog,green,8.100593,2.003609
4659,girl,tomorrow,8.094212,5.639201
1418,pen,pencil,8.085152,4.5583773
6408,tongue,red,8.084144,3.5877173
1188,look,see,8.079915,4.5615554
3468,now,pajamas,8.077644,1.2285597
1199,that,stay,8.072053,4.649465
3810,fine,talk,8.069791,2.3393824
8944,backyard,aunt,8.055668,2.6626353
7287,wait,many,8.052748,2.4942362
4061,table,arm,8.050576,3.6984828
6691,hen,bird,8.0485525,2.035723
185,carrot,refrigerator,8.0481415,1.8070949
761,outside,sleepy,8.046256,1.729744
8376,beside,chin,8.041826,-1.103881
2578,garbage,noisy,8.040593,-0.37589163
3765,loud,noisy,8.037471,1.0772578
7108,pen,pencil,8.033151,4.510453
4765,bedroom,room,8.030657,4.8495135
6467,face,penny,8.029034,4.8690143
6708,bedroom,hat,8.024134,0.33668187
7100,bedroom,room,8.024012,3.9121082
5269,snack,icecream,8.023867,2.6567116
717,child,jeans,8.023742,0.5979223
3100,fish,animal,8.022445,-0.9315144
7003,every,any,8.021716,2.3231819
3263,bird,goose,8.018287,2.4460785
31,hear,listen,8.017188,5.643744
7410,dryer,girl,8.01497,3.8719049
4825,outside,beside,8.006248,0.75420517
1352,cloud,all,7.999418,2.2043085
2464,sticky,see,7.994008,2.3245335
7747,vacuum,hate,7.989313,1.0833063
3830,into,store,7.9878654,1.7902949
8105,for,think,7.987222,2.5709734
4662,cry,fast,7.9868402,2.9798577
1850,stairs,jump,7.979381,3.2380235
145,hide,vacuum,7.978622,2.888009
5478,mouth,say,7.9778523,1.8049427
8389,sticky,wait,7.974835,2.6073031
5556,sleepy,sleep,7.97463,2.8837018
703,cow,donkey,7.962936,1.7415038
7910,face,smile,7.961579,0.6973601
583,not,pig,7.9547524,5.0594506
8497,listen,hear,7.9525123,5.6461735
1672,like,airplane,7.9524894,3.418186
7071,black,face,7.9447713,2.4633083
6406,shirt,fine,7.9429507,3.5198383
6875,into,bye,7.9428325,5.2156777
439,hair,lion,7.9390388,0.38973072
8542,goose,duck,7.9338336,3.5958817
4475,sleepy,sleep,7.931892,5.948551
6166,awake,wake,7.9307094,6.072038
6502,clean,dirty,7.9260626,1.1199352
1683,awake,wake,7.918516,6.5904527
7809,puzzle,down,7.916714,1.9959004
1177,pencil,pen,7.9117155,6.7597156
53,dryer,dry,7.9064026,4.8702464
7902,TV,no,7.9063735,-1.0964508
7946,wake,awake,7.9026814,5.6189647
9094,if,yellow,7.902239,2.9895363
4926,gift,give,7.9016113,5.14938
6316,yucky,hate,7.8985844,3.8651657
3448,sticky,cat,7.897231,3.4049659
5403,flag,fish,7.8878813,3.9933834
5272,sad,mad,7.882129,3.7772067
4108,man,dad,7.8803244,3.765418
7176,hear,ear,7.8800983,5.8735323
1165,goose,duck,7.877709,4.9412107
1600,child,on,7.8760157,3.7044017
3920,story,mom,7.874993,2.079683
6465,pig,clean,7.874593,1.3444439
2758,awake,wake,7.8662753,5.9592195
7943,awake,later,7.8646526,3.5863073
6417,goose,duck,7.8634505,3.001435
8484,hat,boy,7.859741,1.5895375
3653,quiet,talk,7.859545,3.2034307
6062,animal,bath,7.8583803,5.081185
1411,flag,all,7.8581376,2.742855
1796,can,yes,7.8580904,6.391988
470,glasswindow,tooth,7.853123,5.330325
8678,hate,snow,7.850858,-1.4828517
7267,person,beside,7.850746,6.9576054
4251,eye,red,7.848469,-1.2368358
1641,drop,room,7.846305,4.31126
3936,bad,yucky,7.8438926,1.4135952
3715,cut,scissors,7.8422933,4.7497663
4986,nap,sleepy,7.8398075,3.8231657
3418,underwear,mouse,7.839801,2.8223436
8704,drink,thirsty,7.8386836,3.1329768
9299,grandma,grandpa,7.835916,6.217324
1169,pig,dirty,7.834466,3.742724
5408,read,dance,7.8240414,2.8438551
5116,listen,hear,7.819115,5.652455
4951,brother,pool,7.8172894,2.5765033
2107,cheek,tooth,7.812412,0.39764056
186,wake,awake,7.807037,4.705479
5443,lamp,drop,7.806186,3.5244267
1250,pretty,sleep,7.8061337,3.9278018
5775,weus,elephant,7.802975,1.8824203
9017,haveto,go,7.802302,1.9401677
2684,pajamas,brother,7.79929,1.6350975
2515,any,another,7.7986546,4.346329
4518,bedroom,bed,7.7939925,2.411229
285,nose,noisy,7.7921715,5.098714
7796,weus,zipper,7.786329,1.3488392
330,pencil,pen,7.7808533,4.400133
7191,blow,carrot,7.7796884,0.69176257
5933,listen,cheek,7.7721753,0.60846055
7309,brother,later,7.7716475,3.123935
3428,book,fish,7.77068,4.9450564
1394,puppy,kitty,7.769186,0.28979468
1125,outside,loud,7.7678995,3.4291735
3685,yourself,not,7.7660356,7.221936
905,haveto,have,7.76416,5.070771
7060,say,red,7.7623806,6.3936815
1787,pizza,jeans,7.753299,3.0311747
1444,think,penny,7.751961,5.1017137
5619,sleepy,sleep,7.751179,3.469162
363,tooth,tongue,7.750606,5.177673
6574,scissors,fall,7.7452025,2.634218
7517,sleep,sleepy,7.744485,5.093827
5866,cry,eye,7.7363443,4.794441
4988,cut,fall,7.7270103,4.5022526
4820,fall,sad,7.726649,-0.89754367
7382,hear,ear,7.7188134,5.293246
8290,wake,awake,7.7167687,6.0147514
8320,cowboy,cow,7.716272,3.5506406
7685,kitty,beside,7.7149906,1.4252168
3669,time,on,7.714821,-2.207206
6473,fish,milk,7.7144227,3.7284372
4344,open,wolf,7.7131724,-0.3710023
8350,please,minemy,7.712469,5.1596503
9279,ride,chair,7.711644,4.7804317
5220,on,table,7.711547,6.2982025
3457,pencil,pen,7.7093663,5.703683
6334,there,where,7.7073755,2.3587728
8121,because,black,7.7051187,5.5172668
8947,yes,can,7.7036276,5.3817377
1662,before,flag,7.6971273,0.7207513
7746,puppy,vacuum,7.6929927,3.3846152
3519,dog,there,7.691169,5.928541
3940,water,talk,7.6866145,1.7154167
8393,any,another,7.682072,4.197959
9167,backyard,read,7.681346,-0.89482695
2084,arm,weus,7.675877,2.8733103
2705,head,store,7.672604,1.548343
3207,find,up,7.6712008,0.4101396
1865,wait,finger,7.6677675,5.301944
5533,on,dirty,7.666519,0.85588706
6449,farm,mom,7.658616,2.7533762
2508,kitty,bee,7.65255,4.362749
9122,bye,can,7.6498437,1.4215857
4752,open,tree,7.6483502,2.9442065
5229,go,person,7.648175,4.2909813
4800,backyard,bath,7.647796,0.9804253
4529,tooth,mouth,7.6462555,3.99536
6720,duck,goose,7.644669,5.060595
7765,yellow,pajamas,7.6396646,3.3534575
7654,after,fish,7.6390414,4.0889745
882,hide,girl,7.635911,4.9979863
600,room,beside,7.6294785,3.3149178
5618,up,mouse,7.626544,1.4801813
2183,face,mouth,7.6145353,3.9466698
8732,goose,bird,7.613741,6.462488
1152,awake,wake,7.604522,6.506189
2711,haveto,have,7.604013,6.184231
6638,wake,awake,7.602381,6.4174848
4089,awake,wake,7.600332,6.288754
7938,cow,yellow,7.599028,3.8644292
7982,wake,awake,7.5987177,6.249283
5157,bed,bedroom,7.5959344,3.22283
4540,say,fall,7.5954847,-0.3305801
5937,cut,scissors,7.5939403,5.937341
8607,mouse,pretend,7.5903144,5.7568693
209,please,minemy,7.5885477,5.4803643
1079,weus,down,7.585546,2.843248
6928,yellow,now,7.5831676,2.93902
3081,sleepy,sleep,7.581283,5.022708
6050,noisy,cut,7.579632,3.4824347
8230,fall,table,7.57868,4.4909687
765,stairs,frog,7.5783696,2.9361467
5402,pencil,pen,7.5773168,6.3225346
5209,person,will,7.5739007,5.1124067
6527,bird,goose,7.5729637,5.123607
4796,mouth,lips,7.566481,5.6411095
195,there,flag,7.563021,6.0751033
3129,chin,say,7.5624733,2.7182293
7626,hungry,pig,7.5565047,2.0930922
7,puppy,kitty,7.553375,4.3412404
6757,underwear,cute,7.5502195,4.5392528
3027,go,moon,7.548456,1.8142443
4903,yes,down,7.5472894,3.1174827
4438,pretty,sun,7.546388,6.8554406
4510,nuts,jacket,7.545405,-1.0480407
800,time,night,7.5452304,0.2753491
7818,cheek,chin,7.541955,5.188459
3623,minemy,please,7.5386453,5.164409
5469,refrigerator,story,7.537858,1.7713962
8986,goose,duck,7.5339046,5.4487367
8016,pen,pencil,7.528059,6.169654
638,cat,kitty,7.527231,5.0445976
8952,wake,awake,7.5264535,6.462424
6856,mouth,lips,7.5258627,3.2319453
7594,say,chin,7.525037,5.473526
6709,tree,why,7.520599,3.9253004
1286,dry,dryer,7.5188317,5.4859476
5221,grass,napkin,7.515155,0.28122157
6506,down,feet,7.5142813,7.086211
6979,cat,bee,7.5125904,3.3821924
120,backyard,person,7.51237,1.836602
1733,sleepy,sleep,7.512194,4.3574705
6472,empty,taste,7.50627,2.5672164
3702,sticky,hate,7.505395,5.4944267
7346,hide,jeans,7.502317,1.6949497
2497,owie,wet,7.5018454,2.7120254
510,sad,taste,7.501792,4.47323
4715,white,dirty,7.5017686,2.4485319
3,beside,have,7.500754,1.5094329
7610,cry,car,7.5002766,2.197654
701,pajamas,drawer,7.4999967,1.0250158
9055,duck,goose,7.4988556,5.2714257
9152,hide,jacket,7.4951725,5.4882455
7142,sleep,sleepy,7.4933405,5.0390544
5217,flag,better,7.49204,0.2642427
4306,feet,jeans,7.4917483,0.74074966
2935,moon,grandpa,7.49102,1.2751178
4629,stairs,jump,7.4855623,4.2639337
6723,go,pretty,7.485064,2.5678804
356,backyard,quiet,7.4844418,5.602955
5049,backyard,before,7.4837403,3.477004
3460,because,better,7.4783826,1.223472
5516,hide,brother,7.4748945,3.526147
4683,ride,fall,7.473069,6.4264827
6018,awake,wake,7.469645,6.6130233
447,cut,fine,7.4678392,3.3709822
6943,jeans,puzzle,7.4667,0.62720805
5994,underwear,puzzle,7.4660864,5.229505
660,jump,refrigerator,7.465332,1.1320666
2204,eye,think,7.4602194,3.9487422
74,morning,outside,7.458139,4.1539445
1432,story,all,7.452005,2.5177138
6143,lips,mouth,7.4486275,5.5053525
7668,penny,for,7.4464417,6.8021073
5113,give,gift,7.4457335,5.509948
1926,doll,mouse,7.444836,3.9781253
4370,loud,noisy,7.4437857,3.069543
1569,stairs,jump,7.4434814,5.20153
2718,go,loud,7.4418526,5.740298
1961,open,close,7.4402223,3.2320447
7941,goose,duck,7.4382567,4.234065
6197,book,fine,7.437966,2.0381992
7320,tongue,say,7.4358435,2.4199412
5026,happy,cheek,7.433438,1.7113849
571,nap,pajamas,7.433249,2.6274383
198,into,store,7.430462,2.5809593
3272,who,balloon,7.425675,2.2398956
5215,alligator,loud,7.423252,1.4951566
5185,give,gift,7.420589,4.437477
2023,alligator,on,7.419188,5.4297996
6291,high,cut,7.417926,2.2459278
2982,all,there,7.4158406,4.4138827
7140,yes,carrot,7.412372,5.292569
1255,make,milk,7.4097047,2.285242
5216,wet,give,7.409626,4.913623
8884,lamp,shower,7.4095464,3.0292838
2487,finger,wait,7.4066443,4.235664
9343,toy,awake,7.405636,0.52180696
6138,pig,clean,7.4044538,6.0810995
812,before,please,7.4042654,3.511798
5235,blue,hello,7.40073,3.6388216
1050,fish,before,7.3899117,6.5934134
1341,sad,snack,7.3881426,3.7788084
4404,awake,wake,7.38777,7.0403214
6989,owie,sticky,7.382686,-0.4824414
6831,awake,wake,7.3822303,6.1240287
2420,brother,boy,7.3819265,4.8434005
9062,bath,have,7.3809657,5.812214
1638,closet,there,7.3766446,0.28351584
426,wake,awake,7.3736625,6.5652814
2102,glasswindow,tooth,7.3718734,5.814995
5257,puppy,white,7.365445,0.39414933
7365,ear,if,7.36032,4.267147
24,smile,dryer,7.359534,3.0290082
6544,wake,awake,7.3574767,7.0786967
4810,lips,mouth,7.357194,5.802414
2986,lamp,dryer,7.35681,4.232144
6063,hen,bird,7.354812,5.348247
477,yesterday,that,7.3524365,2.1952276
2568,awake,wake,7.3514237,7.1538615
8388,outside,head,7.350849,3.3307657
1781,make,milk,7.350684,3.3137145
6863,brown,pretend,7.3496857,3.0638523
2752,stuck,white,7.3481917,4.440939
399,awake,wake,7.347359,6.6778684
3909,bird,duck,7.3465576,5.984286
1831,who,hen,7.3449,4.610643
169,if,chair,7.342606,-0.117816836
5640,face,pretty,7.3425198,3.0908582
6141,balloon,orange,7.333956,3.205673
7564,penny,pen,7.3334775,3.677901
4317,duck,goose,7.32353,6.7542663
1399,noisy,loud,7.323314,3.407655
494,quiet,bad,7.3203726,4.811916
4562,snack,food,7.3198533,1.64747
1196,pretty,sleep,7.3184237,5.262246
4423,if,tomorrow,7.3179636,1.5856059
7887,shower,hat,7.317941,3.2065823
3775,look,face,7.3174205,4.874366
6275,awake,wake,7.3134756,7.2628293
2776,wait,wet,7.31332,2.8151686
8315,cat,kitty,7.3128023,5.7109556
6917,on,child,7.3085814,5.626339
7599,jump,ride,7.3076,2.3811142
1920,donkey,boy,7.303473,2.4015238
8802,ride,haveto,7.2976356,0.14019094
3038,pen,pencil,7.297613,5.865307
4242,wet,hat,7.289988,-1.0258971
6948,lips,mouth,7.282428,3.6253605
6559,awake,wake,7.281195,6.686992
3458,snow,child,7.278503,2.6364222
871,awake,wake,7.277309,6.8551173
3813,minemy,bad,7.2762294,3.3019805
3923,who,bug,7.2746663,3.3130274
5460,tooth,glasswindow,7.2718287,5.6335826
3470,pizza,snack,7.269122,-0.036755137
4775,hear,ear,7.2688837,5.1250224
5087,beside,every,7.265993,3.583917
265,story,owl,7.2651014,2.0184226
8590,book,open,7.264682,4.208781
7189,duck,goose,7.261667,5.8641477
1827,after,bedroom,7.2578187,4.911941
7695,shirt,zebra,7.2497783,5.2517505
2494,tree,morning,7.2496905,6.3585944
5906,dry,dryer,7.249079,4.828606
7068,every,any,7.245876,2.685578
445,outside,go,7.2426667,3.9422038
7786,pajamas,puppy,7.2422056,2.0412226
6452,have,animal,7.2399797,5.4311957
2414,awake,wake,7.239394,6.881378
4157,noisy,ear,7.2380924,2.1452763
8033,nap,bedroom,7.23523,4.841575
7755,table,clean,7.234722,2.688893
2588,drawer,car,7.2320924,1.781242
1990,all,another,7.2248898,5.260617
5201,smile,dry,7.2237186,4.794002
8198,grandma,will,7.2221885,3.9633424
2807,bee,beside,7.212144,1.3569672
8122,eye,cry,7.2019806,3.6054626
2029,dad,farm,7.200217,0.7714022
2978,tree,happy,7.198841,3.1455317
7607,goose,duck,7.196174,6.1666327
4999,eye,cheek,7.1938443,3.123227
9110,table,cloud,7.1900005,1.9396062
2512,lips,mouth,7.187825,3.9625945
3927,noisy,go,7.183123,5.7148767
8846,yellow,toy,7.1822395,4.678041
1434,jeans,night,7.178972,5.8563523
5794,finger,wait,7.17857,5.7592144
5544,carrot,puzzle,7.1733584,2.1137698
9018,open,there,7.17281,3.0984588
4023,beside,fish,7.171928,6.060302
5798,dad,man,7.170946,5.165925
6786,cereal,lips,7.1690817,4.621817
8628,cow,cowboy,7.1678333,6.234666
6997,finger,taste,7.165368,2.6710484
7116,open,girl,7.158796,0.71046346
5023,hot,wait,7.1585836,4.8292212
1674,sun,boy,7.158373,2.4849093
4626,empty,wait,7.1577086,1.4109205
6845,awake,wake,7.1549125,6.5023904
7105,fall,scissors,7.1530504,4.2845087
8916,pretend,mouse,7.1517897,6.219189
1855,hello,bedroom,7.150629,3.927782
1500,listen,hear,7.1459413,6.3562827
7544,gum,zebra,7.141787,0.6621999
2905,awake,wake,7.138121,6.874599
3425,ride,another,7.1358466,1.2357568
2594,clean,bee,7.134502,5.188306
7729,scissors,thirsty,7.133376,-0.25883874
5987,chocolate,shirt,7.1288004,1.6197593
2723,wait,finger,7.126853,5.430298
3358,pig,dirty,7.1267014,6.3507924
2762,pretend,hello,7.124324,6.2964706
8685,drop,shower,7.1213818,1.656765
3312,kiss,pizza,7.1197433,4.603117
7641,chocolate,rain,7.1134944,1.4163703
6579,wait,wet,7.1094847,5.3465786
2392,napkin,tiger,7.109247,3.4452891
8251,dryer,dry,7.107523,6.2268567
8639,jeans,bye,7.106885,1.4443018
595,think,why,7.1036515,3.237963
2995,owie,on,7.100981,5.701498
2903,backyard,many,7.0972247,4.353403
7930,nap,sleep,7.0966024,6.2346644
422,cut,scissors,7.095893,5.6569223
6265,pretend,mouse,7.0927844,4.5479913
2870,goose,bird,7.0901647,5.788085
745,that,stay,7.087269,3.6899877
2247,farm,mom,7.085734,6.8874087
2755,outside,wet,7.0848875,5.9049287
5810,grandma,mom,7.084289,5.3982286
4124,sleepy,sleep,7.083758,6.2352486
1251,snow,noisy,7.0831933,2.6266246
4450,give,gift,7.08275,2.323946
2099,grass,bedroom,7.0819693,5.256135
830,hello,drop,7.077425,1.0119133
727,cat,kitty,7.0728207,5.528897
1332,kitty,cat,7.0673995,6.4740953
4878,kiss,flower,7.064601,2.6451836
8868,wake,awake,7.0643797,6.968337
6339,police,fish,7.0635805,2.6271982
3049,listen,hear,7.0611897,6.36949
2437,why,sick,7.061088,6.6880665
1278,fish,beside,7.059788,3.73441
3720,before,after,7.0575986,1.816044
5103,close,into,7.0575433,4.394109
6498,have,bath,7.0566907,4.0437846
8941,close,open,7.0560484,3.7282636
8849,minemy,puppy,7.052295,3.5658617
9037,finish,wait,7.050745,3.3653383
3506,pencil,pen,7.0501003,5.6989074
4862,uncle,close,7.0471244,6.3767157
4131,look,face,7.0469956,6.461382
5236,give,gift,7.0444245,5.1214285
7558,bed,bad,7.0418806,5.0956764
2634,all,dog,7.0412493,-1.8260957
777,gift,give,7.041131,6.3210216
524,cheek,gum,7.0340047,3.6273916
115,fast,hesheit,7.0339007,3.3710988
1210,have,bath,7.033838,4.8908334
1151,pajamas,night,7.030543,-1.3820562
4304,sleep,sleepy,7.029524,5.978255
9005,grandma,mom,7.029145,3.400243
3579,stay,that,7.020406,6.02575
6960,drop,store,7.0187006,1.4102881
7718,mom,grandma,7.0176325,5.529993
7775,vacuum,jeans,7.016529,1.7725369
7168,beside,bath,7.015515,5.6595345
6700,happy,please,7.0095,2.9739337
3675,find,frenchfries,7.0057244,1.497122
1281,into,clean,7.002124,5.6520634
6267,before,head,6.997652,2.2193298
4270,why,flag,6.9934216,4.6674714
4982,person,beside,6.9900193,5.338455
1097,puppy,dog,6.987307,5.457363
4476,read,dance,6.985714,5.5415974
4845,awake,wake,6.9814363,6.710792
1977,not,orange,6.9766808,0.68783903
1370,bedroom,bed,6.9755497,2.839892
2450,bath,up,6.9739895,-0.2661125
2416,hungry,underwear,6.969749,6.184953
7073,time,jump,6.9644465,0.7237415
7385,see,jacket,6.9622474,-0.029012728
5232,mouth,red,6.961524,4.9957075
1466,cereal,pool,6.9596395,2.2146835
6508,beside,book,6.955921,1.1098161
8987,into,elephant,6.9550247,5.0523806
1916,thankyou,bad,6.954715,4.1621614
8710,wake,awake,6.953261,6.7648206
1206,penny,think,6.951925,1.9193646
4222,toothbrush,mouse,6.946384,3.6693697
342,tomorrow,make,6.939692,4.884061
1201,cat,kitty,6.9394503,5.8962507
6381,give,gift,6.937262,6.3664737
6435,underwear,jacket,6.933447,1.0618649
3187,sleep,sleepy,6.931615,6.2775664
5180,person,puppy,6.929356,3.6037285
9025,mad,fast,6.929323,3.0642023
7536,pen,pencil,6.9282303,5.607273
8040,yourself,girl,6.9270363,5.01722
7611,underwear,hot,6.9236684,0.17545155
662,carrot,chocolate,6.9204464,5.448724
5668,helicopter,chair,6.9187584,0.7128719
6736,yesterday,cow,6.912036,5.1277866
8340,after,there,6.9081635,4.2737765
8548,blow,into,6.9062667,1.6060139
3210,cut,fall,6.904179,3.1751966
1209,jacket,yesterday,6.903083,4.2637815
481,there,many,6.9013877,2.7547407
7047,old,yellow,6.9011855,3.1629157
9049,dance,chair,6.8998284,2.3139985
6027,why,sick,6.895747,6.037372
9265,clown,grandma,6.8909626,-0.26382902
6768,pencil,pen,6.8893304,6.8213363
4394,stairs,jump,6.8881464,4.1889663
9250,hear,listen,6.8851705,6.8717394
246,beside,bad,6.880541,4.128113
2352,flower,napkin,6.879803,5.7597256
5792,yucky,empty,6.873711,5.9548707
5978,TV,where,6.873336,3.530286
8386,story,chocolate,6.871684,0.7805479
7565,see,kitty,6.870901,6.0194
8409,duck,goose,6.8672214,6.252704
6140,mitten,wait,6.863989,1.6309124
2975,closet,go,6.8619103,3.6924384
4581,finish,after,6.8594728,6.140422
2855,puzzle,chair,6.856347,4.4571753
931,sleep,nap,6.854428,6.2746215
5803,vacuum,fall,6.8538046,2.6382825
705,kitty,puppy,6.8506083,5.5619555
8134,feet,jump,6.846659,2.8235545
8895,cat,loud,6.845493,6.8337965
7979,before,close,6.8453565,6.0880346
8266,have,shirt,6.8436565,-0.041138638
6136,shhh,mouse,6.841749,4.6819735
971,into,open,6.8415775,3.458544
5431,car,open,6.8411875,-0.38888028
990,morning,tree,6.841009,3.9095383
6595,stay,that,6.8395424,6.478694
6889,giraffe,smile,6.838349,0.20760036
4505,dad,cowboy,6.837985,5.7843895
5018,frenchfries,find,6.837077,5.636037
7457,store,shower,6.836471,4.3559055
7561,mad,clown,6.8344703,3.9862177
7769,penny,think,6.8315563,4.949033
4758,before,haveto,6.8239336,2.002742
5586,shoe,carrot,6.8226857,6.4948053
